tienda,pais,moneda,categoria,keyword_busqueda,producto,precio_raw,url_producto,fecha_extraccion
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO MSI VENTUS 2X GEFORCE RTX 5050 8GB OC GDDR6,"$483.00 
El precio original era: $483.00.
$419.99
El precio actual es: $419.99.",https://nomadaware.com.ec/producto/msi-ventus-2x-rtx-5050-8gb-oc-gddr6/,2026-06-30 01:48:27
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO MSI CYCLONE GEFORCE RTX 5060 8GB OC GDDR7,"$552.00 
El precio original era: $552.00.
$479.99
El precio actual es: $479.99.",https://nomadaware.com.ec/producto/msi-cyclone-geforce-rtx-5060-8gb-oc/,2026-06-30 01:48:27
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO MSI VENTUS BLACK 2X GEFORCE RTX 5060 TI 16GB OC GDDR7,"$885.50 
El precio original era: $885.50.
$769.99
El precio actual es: $769.99.",https://nomadaware.com.ec/producto/msi-ventus-2x-rtx-5060-ti-16gb-oc/,2026-06-30 01:48:27
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO GIGABYTE GAMING AMD RADEON RX 9060 XT 16GB OC,"$793.50 
El precio original era: $793.50.
$689.99
El precio actual es: $689.99.",https://nomadaware.com.ec/producto/gigabyte-gaming-amd-radeon-rx-9060-xt/,2026-06-30 01:48:27
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO ZOTAC TWIN EDGE NVIDIA RTX 5050 8GB OC GDDR6,"$460.00 
El precio original era: $460.00.
$399.99
El precio actual es: $399.99.",https://nomadaware.com.ec/producto/zotac-rtx-5050-8gb-edge-oc-gddr6/,2026-06-30 01:48:32
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO ASUS DUAL GEFORCE RTX 5050 8GB GDDR6 OC,"$471.50 
El precio original era: $471.50.
$409.99
El precio actual es: $409.99.",https://nomadaware.com.ec/producto/tarjeta-de-video-asus-dual-nvidia-rtx-5050-8gb-gddr6-oc/,2026-06-30 01:48:32
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO ASROCK STEEL LEGEND AMD RADEON RX 9060 XT 8GB OC GDDR6,"$598.00 
El precio original era: $598.00.
$519.99
El precio actual es: $519.99.",https://nomadaware.com.ec/producto/tarjeta-de-video-asrock-steel-legend-amd-radeon-rx-9060-xt-8gb-oc-gddr6/,2026-06-30 01:48:32
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO ASUS PRIME GEFORCE RTX 5070 12GB OC GDDR7,"$1092.50 
El precio original era: $1092.50.
$949.99
El precio actual es: $949.99.",https://nomadaware.com.ec/producto/tarjeta-de-video-asus-prime-rtx-5070-12gb-oc-gddr7/,2026-06-30 01:48:32
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO MSI VENTUS 3X GEFORCE RTX 5060 8GB OC GDDR7,"$598.00 
El precio original era: $598.00.
$519.99
El precio actual es: $519.99.",https://nomadaware.com.ec/producto/tarjeta-de-video-msi-ventus-3x-nvidia-rtx-5060-8gb-oc-gddr7/,2026-06-30 01:48:32
NomadaWare,Ecuador,USD,GPU,tarjeta de video,TARJETA DE VIDEO ASUS DUAL AMD RADEON RX 9060 XT 8GB GDDR6,"$598.00 
El precio original era: $598.00.
$519.99
El precio actual es: $519.99.",https://nomadaware.com.ec/producto/tarjeta-de-video-asus-dual-amd-radeon-rx-9060-xt-8gb-gddr6/,2026-06-30 01:48:32
