tienda,pais,moneda,categoria,keyword_busqueda,producto,precio_raw,url_producto,fecha_extraccion
Tecnosmart,Ecuador,USD,CPU,procesador,Procesador HPE DL380 Gen9 Intel Xeon E5-2640v3 Kit – (719049-B),$143.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-hpe-dl380-gen9-intel-xeon-e5-2640v3-kit-719049-b/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,Procesador Intel Core i5-10600KF – Sin Graficos,$288.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-intel-core-i5-10600kf-4-1ghz-12mb-cache-lga-1200/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,Procesador AMD Ryzen 7 5700G – Con Graficos Radeon VEGA,$280.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/procesador-amd-ryzen-7-5700g-3-8ghz-turbo-4-6ghz-am4-8-core-16-threads-graficos-radeon-vega-integrados/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,Laptop Gigabyte Gaming A16 | Ryzen 7 260 | 16GB DDR5 | 1TB | RTX 5070 8GB | 16″ FHD+ (9RGA6AB7WHKHJK0LA3M0),$2344.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/laptop-gigabyte-a16-r7-260-rtx5070/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,PC Desktop Servidor Intel Ultra 9 285K | 32GB DDR5 | RAID 2x1TB SSD | Torre,"$2660.00 
El precio original era: $2660.00.
$2359.00
El precio actual es: $2359.00.
 Inc. IVA",https://www.tecnosmart.com.ec/producto/pc-desktop-servidor-intel-ultra-9-285k-8-32gb-ddr5-raid-2x1tb-ssd/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,PC Desktop Workstation Intel Ultra 7 270K+ | TUF B860 WiFi7 | 32GB DDR5 | 1TB SSD | Case Sólido,"$1799.00 
El precio original era: $1799.00.
$1629.00
El precio actual es: $1629.00.
 Inc. IVA",https://www.tecnosmart.com.ec/producto/pc-desktop-workstation-intel-ultra-7-270k-plus-tuf-b860-32gb-ddr5-1tb-ssd-wifi-case-solido-copia/,2026-06-30 01:43:35
Tecnosmart,Ecuador,USD,CPU,procesador,PC Desktop Workstation Intel Ultra 7 265KF | TUF B860 | 32GB DDR5 | 1TB SSD | RTX 5050 8GB | WiFi | Case Sólido,"$2099.00 
El precio original era: $2099.00.
$1919.00
El precio actual es: $1919.00.
 Inc. IVA",https://www.tecnosmart.com.ec/producto/pc-u7-265kf-tuf-b860-32gb-1tb-rtx5050-wifi-case-solido/,2026-06-30 01:43:39
Tecnosmart,Ecuador,USD,CPU,procesador,IA Workstation AMD ThreadRipper + Dual GeForce RTX 5090 + 128GB RAM DDR5,"$23900.00 
El precio original era: $23900.00.
$19999.00
El precio actual es: $19999.00.
 Inc. IVA",https://www.tecnosmart.com.ec/producto/ia-workstation-9960x-dual-rtx-5090-128gb/,2026-06-30 01:43:39
Tecnosmart,Ecuador,USD,CPU,procesador,Laptop Lenovo IdeaPad Slim 3 | Touch 15.3″ | Ryzen 7 170 | 16G | 512GB,$952.99 Inc. IVA,https://www.tecnosmart.com.ec/producto/lenovo-ip-15arp10-ryzen-7-83k700g8us/,2026-06-30 01:43:39
Tecnosmart,Ecuador,USD,CPU,procesador,PC Early Streamer – Intel Core i5,,https://www.tecnosmart.com.ec/producto/pc-early-streamer-intel-core-i5/,2026-06-30 01:43:39
