categoria_busqueda,tienda,producto,precio_tarjeta,precio_credito
mouse,Computron,MOUSE XTECH ALAMBRICO DISNEY STICH USB - ROSADO,"$9,99",Crédito Directo 3 cuotas de: $4.98
mouse,Computron,MOUSE XTECH ALAMBRICO DISNEY STICH USB - AZUL,"$9,99",Crédito Directo 6 cuotas de: $2.54
mouse,Computron,MOUSE XTECH INALAMBRICO DISNEY STICH USB + MOUSE PAD CON ALMOHADILLA,"$16,99",Crédito Directo 6 cuotas de: $4.31
mouse,Computron,MOUSE LOGITECH ERGONOMIC LIFT LEFT VERTICAL BLUETOOTH 4000 DPI GRAFITO - MANO IZQUIERDA,"$104,99",Crédito Directo 6 cuotas de: $26.00
mouse,Computron,"LAPTOP ASUS VIVOBOOK 15 AMD R7-5825U 2.0GHZ-8GB-512GB SSD-SILVER-15.6""FHD-W11+MOUSE","$689,99",Crédito Directo 15 cuotas de: $87.06
mouse,Computron,"LAPTOP ASUS EXPERTBOOK B3 INTEL ULTRA 7 155H-16GB-1TB SSD-16"" WUXGA-WF6E-TPM-3Y-MOUSE-GREY-W11P","$1.559,99",Crédito Directo 12 cuotas de: $222.80
mouse,Computron,COMPUTADOR PC XTRATECH INTEL CI3-12100 3.30GHz-16GB-1TB-TECLADO+MOUSE-W11,"$689,99",Crédito Directo 15 cuotas de: $87.06
mouse,Computron,MOUSE EZMI ALAMBRICO EZ GAMER ILUMINACION RGB 6 BOT. 7200 DPI USB - NEGRO,"$14,98",Crédito Directo 3 cuotas de: $7.46
mouse,Computron,MOUSE PAD AVANTI CON ALMOHADILLA NEGRO,"$4,49",Crédito Directo 6 cuotas de: $1.14
mouse,Computron,"LAPTOP ASUS EXPERTBOOK B5 INTEL ULTRA 7 255H-16GB-SSD1TB-16"" WQXGA-WF7-TPM-3Y-GRIS-MOUSE-W11P","$1.798,99",Crédito Directo 15 cuotas de: $226.99
mouse,Computron,MOUSE PRIMUS INALAMBRICO GAMER CONEXION DUAL USB BATERIA RECARGABLE,"$37,99",Crédito Directo 3 cuotas de: $18.66
mouse,Computron,MOUSE KLIP XTREME INALAMBRICO SLIMSURFER AMBIDIESTRO - ROSADO,"$9,99",Crédito Directo 6 cuotas de: $2.54
mouse,Computron,MOUSE LOGITECH INALAMBRICO M650 BLUETOOTH USB SILENCE - GRAFITO,"$54,99",Crédito Directo 3 cuotas de: $26.87
mouse,Computron,MOUSE PRIMUS ALAMBRICO GAMER 8 BOTONES USB,"$19,99",Crédito Directo 3 cuotas de: $9.70
mouse,Computron,MOUSE XTECH ALAMBRICO USB NEGRO ERGONOMICO,"$4,99",Crédito Directo 3 cuotas de: $2.49
