tienda,pais,moneda,categoria,keyword_busqueda,producto,precio_raw,url_producto,fecha_extraccion
CompuGamer,Ecuador,USD,Monitor,monitor,CPU para juegos AMD RYZEN 7 5700G RTX 3050 sin monitor,"$950,00 
El precio original era: $950,00.
$900,00
El precio actual es: $900,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/cpur730506gb/,2026-06-30 01:53:43
CompuGamer,Ecuador,USD,Monitor,monitor,CPU para juegos AMD RYZEN 7 5700G RTX 3060 12GB sin monitor,"$820,00 
El precio original era: $820,00.
$800,00
El precio actual es: $800,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/cpur7306012gb/,2026-06-30 01:53:43
CompuGamer,Ecuador,USD,Monitor,monitor,CPU para juegos AMD RYZEN 7 5700G RTX 3060 12GB RAM 32GB sin monitor,"$1.050,00 
El precio original era: $1.050,00.
$990,00
El precio actual es: $990,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/retro-glass-jug-330-ml/,2026-06-30 01:53:43
CompuGamer,Ecuador,USD,Periferico,teclado,TECLADO PRIMUS GAMING BALLISTA61T – ABS – 61 TECLAS – RETROILUMINADO – SWITCH RED LINEAL – ES – WHITE (PKS-060W-S),"$45,00 
El precio original era: $45,00.
$39,00
El precio actual es: $39,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/teclado-primus-gaming-ballista61t-abs-61-teclas-retroiluminado-switch-red-lineal-es-white-pks-060w-s/,2026-06-30 01:53:54
CompuGamer,Ecuador,USD,Periferico,teclado,TECLADO PRIMUS GAMING BALLISTA61T – ABS – 61 TECLAS – RETROILUMINADO – SWITCH RED LINEAL – ES – BLACK (PKS-060G-S),"$45,00 
El precio original era: $45,00.
$39,00
El precio actual es: $39,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/teclado-primus-gaming-ballista61t-abs-61-teclas-retroiluminado-switch-red-lineal-es-black-pks-060g-s/,2026-06-30 01:53:54
CompuGamer,Ecuador,USD,Periferico,teclado,Teclado Quasad USB Español Multimedia Modelo QK-440C,"$9,00 
El precio original era: $9,00.
$8,00
El precio actual es: $8,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/qk-440c/,2026-06-30 01:53:55
CompuGamer,Ecuador,USD,Periferico,teclado,Case Quasad GENERICO C3156 TECLADO MOUSE PARLANTES,"$55,00 
El precio original era: $55,00.
$49,00
El precio actual es: $49,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/case-quasad-generico-c3156-teclado-mouse-parlantes/,2026-06-30 01:53:55
CompuGamer,Ecuador,USD,Periferico,teclado,Combo Kit 4 en 1 Marvo CM-370 Teclado Mouse headset mousepad,"$29,00 
El precio original era: $29,00.
$25,00
El precio actual es: $25,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/cm-370/,2026-06-30 01:53:55
CompuGamer,Ecuador,USD,Periferico,teclado,"Teclado Gamer Corsair K70 Core RGB, Teclado Mecánico, Switch Cherry MLX Red, Alámbrico, Negro (Español)","$99,00 
El precio original era: $99,00.
$89,00
El precio actual es: $89,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/k70core/,2026-06-30 01:53:55
CompuGamer,Ecuador,USD,Periferico,teclado,"Teclado Genius KB-117, Alámbrico, USB, Negro (Español)","$9,00 
El precio original era: $9,00.
$8,00
El precio actual es: $8,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/teclado-genius-kb-117-alambrico-usb-negro-espanol/,2026-06-30 01:53:55
CompuGamer,Ecuador,USD,Periferico,teclado,UPGRADE KIT Mouse Logitech G Pro Wireless – Teclado Pro X 60 Tkl Wireless,"$350,00 
El precio original era: $350,00.
$325,00
El precio actual es: $325,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/upgrade-kit-mouse-logitech-g-pro-wireless-teclado-pro-x-60-tkl-wireless/,2026-06-30 01:53:55
CompuGamer,Ecuador,USD,Periferico,mouse,Mouse QUASAD QM-850 wireless 1600dpi recargable Red/Negro,"$10,00 
El precio original era: $10,00.
$9,00
El precio actual es: $9,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/qm-850/,2026-06-30 01:54:00
CompuGamer,Ecuador,USD,Periferico,mouse,Case Quasad GENERICO C3156 TECLADO MOUSE PARLANTES,"$55,00 
El precio original era: $55,00.
$49,00
El precio actual es: $49,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/case-quasad-generico-c3156-teclado-mouse-parlantes/,2026-06-30 01:54:00
CompuGamer,Ecuador,USD,Periferico,mouse,Combo Kit 4 en 1 Marvo CM-370 Teclado Mouse headset mousepad,"$29,00 
El precio original era: $29,00.
$25,00
El precio actual es: $25,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/cm-370/,2026-06-30 01:54:00
CompuGamer,Ecuador,USD,Periferico,mouse,"Mouse Gamer LIGHTSPEED Logitech G Pro, Inalámbrico, Óptico, 25.600DPI","$135,00 
El precio original era: $135,00.
$129,00
El precio actual es: $129,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/logitechgpro/,2026-06-30 01:54:00
CompuGamer,Ecuador,USD,Periferico,mouse,"Mouse Genius Óptico DX-110, Alámbrico, USB, 1000DPI, Negro","$6,00 
El precio original era: $6,00.
$5,00
El precio actual es: $5,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/dx-110/,2026-06-30 01:54:00
CompuGamer,Ecuador,USD,Periferico,mouse,UPGRADE KIT Mouse Logitech G Pro Wireless – Teclado Pro X 60 Tkl Wireless,"$350,00 
El precio original era: $350,00.
$325,00
El precio actual es: $325,00.
IVA INCLUIDO",https://www.compugamer.com.ec/gamers/producto/upgrade-kit-mouse-logitech-g-pro-wireless-teclado-pro-x-60-tkl-wireless/,2026-06-30 01:54:00
